iter	MultiClass
0	1.095931009
1	1.093330821
2	1.090744555
3	1.088245347
4	1.085850335
5	1.083551127
6	1.081328031
7	1.079218443
8	1.077161168
9	1.075087175
10	1.073157211
11	1.071322669
12	1.069461843
13	1.067658187
14	1.065947181
15	1.064258795
16	1.062644807
17	1.061105602
18	1.059556264
19	1.058065329
20	1.056616071
21	1.055230306
22	1.053864398
23	1.052573211
24	1.051277638
25	1.05002015
26	1.048811751
27	1.047603569
28	1.046479961
29	1.04539385
30	1.044322373
31	1.04329472
32	1.042280857
33	1.041290813
34	1.040315856
35	1.039390158
36	1.038465322
37	1.037565851
38	1.036681256
39	1.035849579
40	1.035048227
41	1.03421282
42	1.033460431
43	1.032688536
44	1.031921438
45	1.031247593
46	1.030511448
47	1.029785972
48	1.029117382
49	1.028458346
50	1.027840456
51	1.027215587
52	1.026633415
53	1.026033055
54	1.025436776
55	1.024943887
56	1.024385277
57	1.023888317
58	1.023354976
59	1.022837518
60	1.022356259
61	1.021870365
62	1.021382191
63	1.020945272
64	1.020520845
65	1.020059747
66	1.019639266
67	1.019251798
68	1.018856281
69	1.018489882
70	1.018096252
71	1.017741574
72	1.017369265
73	1.017012315
74	1.016643831
75	1.016295494
76	1.015970384
77	1.015660706
78	1.015354204
79	1.015030381
80	1.014735214
81	1.014434362
82	1.014149546
83	1.01384959
84	1.013577977
85	1.013333462
86	1.013089214
87	1.012798448
88	1.01255517
89	1.012317139
90	1.012079842
91	1.011860792
92	1.011625414
93	1.011388326
94	1.011183315
95	1.010972361
96	1.010754254
97	1.010551505
98	1.010326325
99	1.010107099
100	1.009920926
101	1.00973381
102	1.009563537
103	1.009365456
104	1.009191505
105	1.009013871
106	1.008851685
107	1.008683888
108	1.008527941
109	1.008364154
110	1.008192345
111	1.008035575
112	1.007884138
113	1.007742689
114	1.007589202
115	1.007440055
116	1.007302541
117	1.007169604
118	1.00704453
119	1.00690476
120	1.00676417
121	1.006618275
122	1.006500425
123	1.006388333
124	1.006265705
125	1.006146365
126	1.006054095
127	1.005943995
128	1.005824254
129	1.005712392
130	1.005601618
131	1.005488388
132	1.005406798
133	1.005318118
134	1.0052178
135	1.00510158
136	1.005005165
137	1.004878164
138	1.004765119
139	1.004658931
140	1.004571417
141	1.004451278
142	1.00435498
143	1.004265221
144	1.004162157
145	1.004080269
146	1.003981769
147	1.003893138
148	1.003791016
149	1.003673098
150	1.003590498
151	1.00351459
152	1.003430878
153	1.003359579
154	1.003287019
155	1.003193894
156	1.003127082
157	1.003051574
158	1.002975118
159	1.002898698
160	1.002823494
161	1.00275355
162	1.002674581
163	1.002591714
164	1.002517944
