iter	Passed	Remaining
0	319	223116
1	439	153556
2	550	127956
3	670	116588
4	780	108472
5	892	103216
6	1012	100237
7	1149	99389
8	1261	96875
9	1374	94854
10	1479	92663
11	1599	91711
12	1715	90662
13	1831	89721
14	1941	88668
15	2049	87622
16	2159	86769
17	2266	85887
18	2380	85317
19	2503	85130
20	2607	84308
21	2719	83818
22	2818	82965
23	2928	82484
24	3036	81990
25	3156	81828
26	3271	81556
27	3393	81452
28	3508	81170
29	3612	80679
30	3728	80467
31	3847	80323
32	3960	80057
33	4079	79905
34	4193	79673
35	4296	79251
36	4412	79070
37	4641	80851
38	4748	80481
39	4872	80388
40	4990	80206
41	5108	80029
42	5204	79519
43	5311	79195
44	5427	78999
45	5537	78727
46	5657	78598
47	5771	78397
48	5893	78298
49	6021	78280
50	6154	78313
51	6275	78196
52	6386	77958
53	6508	77859
54	6615	77584
55	6734	77443
56	6866	77456
57	6994	77425
58	7132	77490
59	7257	77410
60	7364	77141
61	7483	77003
62	7595	76794
63	7700	76526
64	7826	76458
65	7960	76472
66	8084	76380
67	8195	76168
68	8325	76136
69	8433	75899
70	8539	75656
71	8653	75479
72	8797	75563
73	8930	75547
74	9101	75843
75	9233	75809
76	9338	75559
77	9468	75506
78	9574	75263
79	9685	75059
80	9779	74736
81	9889	74529
82	9995	74306
83	10110	74141
84	10234	74051
85	10334	73784
86	10445	73598
87	10563	73461
88	10684	73350
89	10803	73220
90	10913	73033
91	11015	72796
92	11123	72600
93	11243	72485
94	11346	72258
95	11456	72079
96	11554	71831
97	11664	71653
98	11775	71487
99	11894	71367
100	12119	71879
101	12261	71887
102	12380	71760
103	12528	71797
104	12660	71744
105	12781	71627
106	12905	71521
107	13031	71434
108	13161	71361
109	13293	71302
110	13416	71191
111	13534	71057
112	13643	70871
113	13772	70795
114	13878	70600
115	14063	70803
116	14194	70728
117	14327	70668
118	14475	70673
119	14615	70640
120	14749	70579
121	14880	70501
122	15034	70525
123	15171	70475
124	15283	70304
125	15398	70150
126	15518	70014
127	15630	69849
128	15749	69711
129	15870	69587
130	15987	69442
131	16118	69356
132	16239	69233
133	16377	69178
134	16508	69092
135	16625	68946
136	16747	68825
137	16867	68694
138	16997	68602
139	17120	68480
140	17216	68255
141	17338	68134
142	17454	67988
143	17571	67847
144	17681	67675
145	17787	67495
146	17923	67425
147	18051	67327
148	18168	67186
149	18270	66992
150	18377	66816
151	18488	66654
152	18601	66504
153	18741	66447
154	18896	66441
155	19060	66466
156	19212	66447
157	19312	66249
158	19448	66175
159	19552	65988
160	19684	65900
161	19803	65765
162	19910	65594
163	20001	65369
164	20114	65219
165	20217	65036
166	20335	64903
167	20439	64726
168	20549	64567
169	20664	64423
170	20790	64316
171	20901	64162
172	20992	63948
173	21117	63838
174	21228	63685
175	21337	63528
176	21436	63339
177	21552	63203
178	21667	63066
179	21771	62895
180	21894	62780
181	22032	62707
182	22159	62603
183	22267	62447
184	22368	62269
185	22482	62130
186	22594	61983
187	22699	61819
188	22814	61683
189	22927	61541
190	23073	61488
191	23177	61322
192	23290	61182
193	23390	61007
194	23507	60877
195	23602	60691
196	23716	60555
197	23820	60392
198	23911	60198
199	23997	59994
200	24124	59890
201	24239	59759
202	24357	59634
203	24467	59488
204	24574	59337
205	24679	59183
206	24911	59329
207	25043	59238
208	25174	59142
209	25289	59009
210	25407	58882
211	25515	58733
212	25631	58604
213	25755	58492
214	25867	58351
215	25963	58176
216	26074	58036
217	26172	57867
218	26290	57742
219	26402	57605
220	26524	57489
221	26646	57374
222	26744	57207
223	26856	57069
224	26974	56946
225	27069	56774
226	27175	56624
227	27286	56488
228	27400	56357
229	27490	56176
230	27605	56047
231	27696	55870
232	27805	55730
233	27921	55604
234	28025	55453
235	28113	55273
236	28229	55149
237	28326	54986
238	28456	54888
239	28563	54747
240	28714	54688
241	28846	54593
242	29000	54539
243	29135	54450
244	29238	54300
245	29352	54170
246	29464	54038
247	29554	53865
248	29664	53729
249	29772	53590
250	29887	53463
251	30005	53343
252	30127	53228
253	30242	53103
254	30349	52962
255	30448	52809
256	30552	52664
257	30651	52511
258	30749	52357
259	30871	52243
260	30974	52098
261	31086	51969
262	31199	51841
263	31291	51678
264	31404	51551
265	31515	51419
266	31615	51271
267	31724	51137
268	31842	51019
269	31950	50884
270	32062	50755
271	32177	50632
272	32285	50497
273	32383	50347
274	32490	50212
275	32595	50073
276	32701	49938
277	32795	49783
278	32894	49636
279	32990	49485
280	33084	49332
281	33174	49173
282	33274	49029
283	33385	48902
284	33487	48763
285	33570	48594
286	33686	48475
287	33789	48338
288	33902	48214
289	34001	48071
290	34110	47942
291	34202	47789
292	34318	47670
293	34435	47553
294	34552	47436
295	34655	47299
296	34758	47164
297	34856	47021
298	34967	46896
299	35068	46758
300	35187	46643
301	35280	46495
302	35383	46360
303	35513	46261
304	35637	46153
305	35757	46040
306	35871	45919
307	35987	45802
308	36106	45688
309	36197	45538
310	36307	45413
311	36434	45309
312	36530	45166
313	36636	45037
314	36753	44921
315	36863	44796
316	36966	44663
317	37062	44521
318	37172	44396
319	37276	44266
320	37376	44129
321	37495	44016
322	37611	43899
323	37737	43794
324	37855	43679
325	37965	43555
326	38078	43434
327	38180	43301
328	38277	43164
329	38385	43037
330	38513	42934
331	38635	42824
332	38770	42729
333	38918	42646
334	39034	42530
335	39138	42400
336	39249	42277
337	39345	42138
338	39462	42022
339	39573	41900
340	39698	41793
341	39813	41676
342	39915	41545
343	40024	41420
344	40124	41287
345	40239	41169
346	40345	41042
347	40442	40907
348	40558	40790
349	40657	40657
350	40779	40547
351	40875	40410
352	40978	40281
353	41087	40158
354	41188	40028
355	41299	39907
356	41403	39780
357	41516	39660
358	41609	39523
359	41722	39404
360	41842	39292
361	41948	39166
362	42062	39050
363	42175	38930
364	42279	38804
365	42414	38706
366	42553	38611
367	42674	38499
368	42786	38380
369	42921	38281
370	43053	38179
371	43157	38052
372	43277	37940
373	43387	37818
374	43524	37721
375	43626	37592
376	43753	37486
377	43868	37369
378	43999	37265
379	44111	37146
380	44222	37026
381	44356	36924
382	44485	36819
383	44601	36703
384	44702	36574
385	44822	36462
386	45044	36431
387	45156	36311
388	45273	36195
389	45381	36072
390	45511	35966
391	45636	35857
392	45760	35746
393	45885	35637
394	45995	35515
395	46109	35397
396	46237	35289
397	46355	35174
398	46466	35054
399	46581	34936
400	46714	34832
401	46828	34713
402	46944	34597
403	47059	34479
404	47170	34358
405	47284	34240
406	47400	34123
407	47517	34007
408	47613	33876
409	47743	33769
410	47880	33667
411	47997	33551
412	48108	33431
413	48227	33316
414	48348	33203
415	48457	33081
416	48583	32971
417	48701	32856
418	48808	32732
419	48962	32641
420	49106	32543
421	49209	32417
422	49327	32302
423	49450	32189
424	49580	32081
425	49692	31961
426	49803	31841
427	49914	31721
428	50012	31592
429	50113	31466
430	50231	31351
431	50336	31227
432	50432	31097
433	50557	30987
434	50669	30867
435	50755	30732
436	50858	30608
437	50957	30481
438	51060	30356
439	51157	30229
440	51266	30108
441	51382	29992
442	51491	29872
443	51583	29741
444	51701	29626
445	51797	29499
446	51901	29375
447	52021	29262
448	52131	29142
449	52246	29026
450	52350	28902
451	52471	28789
452	52577	28667
453	52703	28557
454	52818	28440
455	52930	28322
456	53044	28205
457	53167	28092
458	53278	27973
459	53376	27848
460	53469	27720
461	53578	27600
462	53689	27482
463	53811	27369
464	53921	27250
465	54025	27128
466	54142	27013
467	54245	26890
468	54355	26771
469	54460	26650
470	54576	26535
471	54681	26413
472	54789	26294
473	54895	26173
474	54994	26049
475	55094	25926
476	55199	25806
477	55298	25682
478	55404	25562
479	55525	25449
480	55625	25326
481	55734	25207
482	55855	25094
483	55953	24970
484	56046	24845
485	56159	24728
486	56261	24607
487	56368	24488
488	56471	24366
489	56586	24251
490	56690	24131
491	56784	24006
492	56894	23888
493	57010	23773
494	57118	23655
495	57227	23536
496	57334	23418
497	57441	23299
498	57551	23182
499	57655	23062
500	57768	22945
501	57898	22836
502	58016	22722
503	58118	22601
504	58217	22480
505	58320	22359
506	58462	22255
507	58593	22145
508	58716	22033
509	58830	21917
510	58978	21813
511	59094	21698
512	59221	21587
513	59322	21466
514	59440	21352
515	59543	21232
516	59665	21119
517	59795	21009
518	59918	20896
519	60039	20782
520	60151	20666
521	60219	20534
522	60293	20405
523	60357	20272
524	60415	20138
525	60461	20000
526	60512	19864
527	60561	19728
528	60661	19608
529	60797	19501
530	60962	19402
531	61191	19323
532	61323	19213
533	61435	19098
534	61545	18981
535	61669	18869
536	61803	18759
537	61959	18657
538	62186	18575
539	62408	18491
540	62609	18401
541	62710	18280
542	62804	18159
543	62890	18034
544	62977	17911
545	63050	17783
546	63133	17658
547	63204	17531
548	63293	17408
549	63370	17282
550	63479	17165
551	63598	17051
552	63730	16941
553	63813	16817
554	63884	16690
555	63969	16567
556	64063	16447
557	64177	16331
558	64275	16212
559	64375	16093
560	64534	15989
561	64704	15888
562	64826	15774
563	64920	15654
564	65063	15546
565	65200	15436
566	65340	15326
567	65456	15211
568	65578	15098
569	65721	14989
570	65857	14878
571	65970	14762
572	66072	14644
573	66183	14527
574	66299	14412
575	66427	14300
576	66534	14183
577	66665	14071
578	66782	13956
579	66910	13843
580	67029	13728
581	67134	13611
582	67238	13493
583	67355	13378
584	67462	13261
585	67560	13143
586	67677	13028
587	67780	12910
588	67902	12796
589	68004	12678
590	68110	12561
591	68210	12443
592	68321	12327
593	68435	12212
594	68523	12092
595	68639	11977
596	68757	11862
597	68870	11747
598	68969	11629
599	69067	11511
600	69201	11399
601	69340	11287
602	69464	11174
603	69564	11056
604	69660	10938
605	69764	10821
606	69867	10704
607	69981	10589
608	70065	10469
609	70165	10352
610	70267	10235
611	70390	10121
612	70564	10014
613	70720	9905
614	70844	9791
615	70960	9676
616	71051	9557
617	71141	9439
618	71242	9322
619	71354	9207
620	71456	9090
621	71559	8973
622	71672	8858
623	71786	8743
624	71894	8627
625	71994	8510
626	72095	8393
627	72182	8275
628	72288	8159
629	72383	8042
630	72477	7925
631	72566	7807
632	72671	7691
633	72780	7576
634	72879	7460
635	72968	7342
636	73067	7226
637	73148	7108
638	73264	6993
639	73365	6878
640	73475	6762
641	73580	6647
642	73681	6531
643	73798	6417
644	73921	6303
645	74028	6188
646	74121	6071
647	74203	5954
648	74307	5839
649	74405	5723
650	74510	5608
651	74593	5491
652	74717	5377
653	74842	5264
654	74942	5148
655	75055	5034
656	75155	4918
657	75292	4805
658	75422	4692
659	75536	4577
660	75691	4465
661	75877	4355
662	75981	4240
663	76072	4124
664	76174	4009
665	76264	3893
666	76370	3778
667	76468	3663
668	76582	3548
669	76697	3434
670	76798	3319
671	76899	3204
672	77007	3089
673	77100	2974
674	77196	2859
675	77310	2744
676	77404	2629
677	77510	2515
678	77603	2400
679	77695	2285
680	77797	2170
681	77911	2056
682	78011	1941
683	78113	1827
684	78210	1712
685	78345	1598
686	78462	1484
687	78675	1372
688	78784	1257
689	78909	1143
690	79003	1028
691	79100	914
692	79194	799
693	79298	685
694	79389	571
695	79505	456
696	79618	342
697	79719	228
698	79837	114
699	79952	0
