symbol,symbol_ns,company_name,sector,industry,series,isin,source
360ONE,360ONE.NS,360 ONE WAM Ltd.,Financial Services,Financial Services,EQ,INE466L01038,nse_nifty500
3MINDIA,3MINDIA.NS,3M India Ltd.,Diversified,Diversified,EQ,INE470A01017,nse_nifty500
ABB,ABB.NS,ABB India Ltd.,Capital Goods,Capital Goods,EQ,INE117A01022,nse_nifty500
ACC,ACC.NS,ACC Ltd.,Construction Materials,Construction Materials,EQ,INE012A01025,nse_nifty500
ACMESOLAR,ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,Power,EQ,INE622W01025,nse_nifty500
AIAENG,AIAENG.NS,AIA Engineering Ltd.,Capital Goods,Capital Goods,EQ,INE212H01026,nse_nifty500
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,Capital Goods,EQ,INE702C01027,nse_nifty500
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,Financial Services,EQ,INE949L01017,nse_nifty500
AWL,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,EQ,INE699H01024,nse_nifty500
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,Financial Services,EQ,INE883F01010,nse_nifty500
AARTIIND,AARTIIND.NS,Aarti Industries Ltd.,Chemicals,Chemicals,EQ,INE769A01020,nse_nifty500
AAVAS,AAVAS.NS,Aavas Financiers Ltd.,Financial Services,Financial Services,EQ,INE216P01012,nse_nifty500
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,Healthcare,EQ,INE358A01014,nse_nifty500
ACE,ACE.NS,Action Construction Equipment Ltd.,Capital Goods,Capital Goods,EQ,INE731H01025,nse_nifty500
ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare,Healthcare,EQ,INE00FF01025,nse_nifty500
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,Power,EQ,INE931S01010,nse_nifty500
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,Metals & Mining,EQ,INE423A01024,nse_nifty500
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,Power,Power,EQ,INE364U01010,nse_nifty500
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,Services,EQ,INE742F01042,nse_nifty500
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,Power,Power,EQ,INE814H01029,nse_nifty500
ATGL,ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,EQ,INE399L01023,nse_nifty500
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,Financial Services,EQ,INE674K01013,nse_nifty500
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,Consumer Services,EQ,INE647O01011,nse_nifty500
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,Consumer Services,EQ,INE14LE01019,nse_nifty500
ABREL,ABREL.NS,Aditya Birla Real Estate Ltd.,Realty,Realty,EQ,INE055A01016,nse_nifty500
