feature,perm_importance_mean,perm_importance_std
atr_pct,0.03733333333333336,0.003999999999999976
vol_regime_ratio,0.018333333333333368,0.005666666666666653
rsi_14,0.01566666666666669,0.0016666666666666774
zscore_vs_60d,0.010666666666666685,0.0006666666666666765
obv_trend,0.010000000000000037,0.0013333333333333253
vol_ratio_20,0.010000000000000009,0.0020000000000000018
alpha_signal,0.009666666666666685,0.0016666666666666774
momentum_60d,0.00833333333333336,0.004333333333333356
mfi,0.006666666666666682,0.0013333333333333253
vol_regime,0.0063333333333333575,0.00033333333333335213
roc_20,0.006000000000000033,0.0006666666666666765
rsi_21,0.006000000000000005,0.0
close_reversal_strength,0.005666666666666681,0.0016666666666666774
upper_wick,0.005333333333333357,0.0020000000000000018
hist_vol_30,0.005333333333333357,0.001333333333333353
vol_regime_stressed,0.00466666666666668,0.0013333333333333253
event_move_strength,0.004333333333333356,0.002333333333333354
realized_vol_21d,0.004000000000000031,0.005333333333333329
lower_wick,0.003666666666666679,0.002333333333333326
price_acceleration,0.003666666666666679,0.00633333333333333
bb_width,0.003666666666666679,0.0003333333333333244
stoch_k,0.002666666666666706,0.0020000000000000018
momentum_composite,0.0016666666666667052,0.0030000000000000027
returns_1d,0.0010000000000000286,0.0003333333333333244
close_vs_sma_50,0.0006666666666667043,0.006000000000000005
golden_cross,0.0006666666666666765,0.0006666666666666765
stoch_d,0.00033333333333335213,0.005666666666666653
adaptive_horizon_multiplier,2.7755575615628914e-17,0.0006666666666666765
peer_earnings_negative_ratio_7d,0.0,0.0
earnings_propagation_signal,0.0,0.0
filing_event_signal,0.0,0.0
peer_earnings_shock_3d,0.0,0.0
bb_position,0.0,0.0
momentum_20d,0.0,0.0
close_vs_sma_200,0.0,0.0
peer_earnings_event_count_7d,0.0,0.0
trend_regime,0.0,0.0
official_event_signal,0.0,0.0
52w_low_ratio,0.0,0.0
obv_slope,0.0,0.0020000000000000018
52w_high_ratio,0.0,0.0
event_alpha_signal,0.0,0.0
earnings_propagation_strength,0.0,0.0
event_day_extreme,0.0,0.0
peer_earnings_breadth_7d,0.0,0.0
peer_earnings_shock_7d,0.0,0.0
roc_5,-0.0003333333333332966,0.0030000000000000027
roc_10,-0.0003333333333332966,0.0010000000000000009
gap_up,-0.0003333333333333244,0.004333333333333328
vol_ratio,-0.0009999999999999731,0.003666666666666679
close_reversal_signal,-0.0016666666666666496,0.002333333333333354
rsi_9,-0.0016666666666666496,0.0010000000000000009
hist_vol_10,-0.0016666666666666496,0.00033333333333335213
bb_pct,-0.002333333333333326,0.002333333333333326
candle_body,-0.003999999999999976,0.0006666666666666765
vol_zscore,-0.005999999999999978,0.003999999999999976
williams_r,-0.0069999999999999785,0.003666666666666679
